10,0 20,5432459390295 20,54831831899116 20,54160476523555 20,544134026335268 20,538886850477187 20,5326572543777 20,53469241529526 20,524265261472863 20,509848767695487 20,50862555324534 20,520139855854588 20,536987923597756 20,5546902766578 20,5717579094185 20,587813462227267 20,60273365980387 20,616440568751905 20,62886841594636 20,639959813418994 20,64966527381703 20,657942927831357 20,664758213464502 20,670083550445437 20,673898025562828 20,67618711222079 20,676942443750473 20,67616165565858 20,673848307198128 20,670011887509027 20,664667906192573 20,657838062654758 20,64955048300381 20,639840007883908 20,628748509881163 20,616325222646896 20,60262719614191 20,587721617131578 20,571705306720027 20,55483170714208 20,538069960737563 20,52453746844972 20,520425919979896 20,529695749345517 20,54332580154434 20,548050937455198 20,55074604018892 20,557139936552666 20,558738938106938 20,56106099002841 20,561911435905625
11,0 20,56571902108265 20,56276115697973 20,56403599028752 20,556617455979776 20,558046858144124 20,547605013882386 20,54184873546815 20,53967353814957 20,524016194637287 20,507380558779325 20,50411614193605 20,512362717136707 20,52524526716832 20,538782288588816 20,551653374677425 20,563540920248958 20,574367667502738 20,584101212760924 20,59271983814792 20,600207572710254 20,60655295329201 20,611748146327358 20,615788147255767 20,618670068383693 20,620392542389894 20,620955264636226 20,62035869204611 20,618603910614024 20,615692677678663 20,611627638936476 20,60641271380151 20,60005363618718 20,592558631720518 20,583939217354935 20,574211269991256 20,563398262961254 20,551551799017133 20,538872089599884 20,52621051688441 20,51633917558324 20,51492676899466 20,526423555885245 20,54400144709705 20,553633839280838 20,558247715878515 20,567216353426254 20,57215286943449 20,575495943198742 20,578809125002127 20,579663169584382
12,0 20,582799462810815 20,57849446582966 20,57908513305178 20,573667005885408 20,56746891384564 20,564484272236907 20,550157855274243 20,54379106219327 20,53623892684968 20,515540706510755 20,49649447388557 20,490759078772605 20,49548766047355 20,504321535418743 20,51371779248946 20,52251237958166 20,53044633305161 20,53748518271778 20,5436365927943 20,548915886615937 20,553340245765867 20,556926950024152 20,559692142679417 20,56164978216519 20,562810781228016 20,563182356791728 20,56276760934836 20,561565344712562 20,5595701448021 20,556772687738246 20,553160310952006 20,54871780490773 20,543428433136423 20,537275361802134 20,53024551861067 20,52235061953296 20,513740773914428 20,505157279749543 20,499064131452005 20,500642090212327 20,51461987216222 20,536095017606588 20,55112289451425 20,55876024280709 20,5701257255234 20,57943804657404 20,584461571510115 20,59072661905002 20,593293643767716 20,595224612025575
13,0 20,59253451484559 20,59606556606177 20,588464993939525 20,588743369867764 20,57760712845011 20,5720031736912 20,562810736263295 20,54571927466767 20,537463283326854 20,523906020341094 20,49847015255975 20,476935852563287 20,46851940828777 20,469698558652482 20,47460811010464 20,480091512209096 20,485126230266445 20,489506665446527 20,49323454825271 20,496349376124975 20,49889422622607 20,50090941407004 20,50243045577402 20,503486707338592 20,50410028801433 20,504285275474945 20,504047189276797 20,5033827754316 20,502280098990404 20,500718945395477 20,498671526124912 20,496103496521897 20,492975505645802 20,489247381759 20,484899159833756 20,48003762981119 20,475305047452828 20,472892214664615 20,47752898843068 20,494070263863822 20,519266010517583 20,53983290017028 20,551432292421435 20,565194334148263 20,579223200565423 20,587126375801482 20,596121648174766 20,601879464710105 20,60575301586315 20,607856611162152
14,0 20,60556947456037 20,604564721807034 20,60168628832048 20,594501580418576 20,590153649584373 20,575585384868678 20,568583002427676 20,55277548759403 20,53362610553688 20,522324870491726 20,50259009213714 20,472838208673437 20,448888674912403 20,437801516526708 20,43561013833579 20,436913095451384 20,438892898853247 20,440651723656185 20,4420290055768 20,443053807217844 20,44378757424234 20,444290728557927 20,4446160854108 20,444806756360848 20,444894857565345 20,44490058203634 20,444831609057747 20,44468285998652 20,44443660726167 20,444062939533527 20,44352060290669 20,442758471264575 20,44171979845255 20,44036283358955 20,438760281572367 20,437468773279278 20,438439241807167 20,44598889828645 20,46499061994385 20,493589371939837 20,519535547727354 20,5357486149175 20,552050047610194 20,570610750244047 20,582602690022618 20,594102942868933 20,604091725585004 20,61016613550324 20,615458570481437 20,61743719944622
15,0 20,615819837851245 20,61022404232588 20,610526648604637 20,600701368120514 20,594269929885854 20,583086371395037 20,56686914938679 20,55630673550673 20,534415147621107 20,513539306793607 20,498330994468127 20,4726209493973 20,439093995270248 20,412962498835455 20,399418261509883 20,394220874837853 20,39239869116666 20,391429950396972 20,390523691611467 20,389554249041375 20,388568025660536 20,387637993553156 20,386831448193416 20,386203435064534 20,38579476890717 20,385630959699522 20,3857215633386 20,386059916478732 20,38662326029294 20,387373283610266 20,3882573661393 20,38921269277102 20,390186138964555 20,391226743571927 20,39282012722239 20,396709034065452 20,406836553675593 20,42801827976382 20,45956190814528 20,49046896302027 20,511612757774262 20,530645417463592 20,553238934565687 20,57014910512644 20,584262270410324 20,598681951784055 20,607876109788982 20,616418760050955 20,62136233269972 20,624085002192533
16,0 20,61702044854144 20,618421763151773 20,610990829851435 20,60783468937708 20,593722161122237 20,585845816012764 20,567902009467737 20,55070775240215 20,534985116730965 20,508043058301922 20,485527214796427 20,46591200066204 20,434726199022712 20,398074470575295 20,37014315563121 20,354526949161414 20,34683645234714 20,342493853215686 20,33923350803721 20,33635344476915 20,333752135172507 20,33148325439342 20,32962128543619 20,328230707232613 20,327359625395758 20,327038036746433 20,32727707660149 20,32806873734805 20,32938603838709 20,331183944715125 20,333403196765754 20,33598924215668 20,33897792942163 20,34279854451383 20,349015249764044 20,36123475961868 20,38416455530366 20,418070841064047 20,45331094567718 20,47937178260795 20,50128363143643 20,527261217926483 20,549376626642538 20,566504567808582 20,58492052946981 20,598305000201716 20,609790328527687 20,618768139310927 20,624241996204642 20,627345761704966
17,0 20,618702475306666 20,619220752412165 20,612937121226363 20,60614073977794 20,596164060265757 20,58041578427218 20,56837115333465 20,545122058377803 20,526678014087747 20,505032783073034 20,47425873176065 20,45008084544659 20,42592044811139 20,389981567426748 20,350943008476275 20,321715366541007 20,304541960740348 20,294974896068283 20,288794019722765 20,283953983276067 20,27982479721762 20,276318657290798 20,273487186723134 20,271397466004093 20,27010283334764 20,269636861452778 20,270011959080104 20,271219049575826 20,273228100548984 20,27599157245594 20,279462254188466 20,283672468103546 20,28900897039235 20,296884379404894 20,310605032498422 20,33473737070288 20,370329421563532 20,409119032209304 20,439790212769843 20,464620405093367 20,493288504366937 20,520365146039524 20,540991271900378 20,562717025882264 20,58093881689754 20,595323602734133 20,608676374271337 20,617310990124885 20,624081852897678 20,62701791302224
18,0 20,61978240133824 20,614007774732293 20,613238408549584 20,600962741280338 20,593467869687785 20,576397766366224 20,560035569308198 20,542021762075027 20,515312592298475 20,494855832684095 20,467340332045485 20,433941828703666 20,408076226246617 20,379551941573318 20,339735231094373 20,299104722374878 20,269168343620045 20,251035641216838 20,240265117323112 20,232959272627372 20,22726115388194 20,222597297478544 20,21888426176253 20,216163600465116 20,214487625699785 20,21389192901174 20,21438985100339 20,215971882871656 20,218608588282642 20,22226725498032 20,226984954701457 20,233118193148105 20,241952128245583 20,256526201732672 20,281245782607947 20,317789470260927 20,359245197536513 20,393984679288188 20,421632689552354 20,452311577069484 20,48368258095308 20,508153521992153 20,53254259121727 20,55557076857665 20,57319363569848 20,590483757030444 20,603076407691557 20,613267535472744 20,619961417847357 20,62330021821442
19,0 20,611770955572556 20,61091795650825 20,604472105218424 20,597866938912162 20,583081906453206 20,57186950451089 20,54961692219554 20,53207191755158 20,50770782107303 20,479122905264344 20,45584108834827 20,423148840523595 20,388218941442464 20,36070028890034 20,328249006828667 20,285516570503695 20,244110440770946 20,21409588831823 20,19563851483681 20,18434918108027 20,176620187666 20,170755051265658 20,166223365978045 20,162938190907703 20,16092463681763 20,1602147307869 20,160822124200592 20,16273984701168 20,165955011924897 20,170516007113054 20,17675945643916 20,185863982163376 20,20063258510445 20,225298642763825 20,262042792798805 20,305236037258737 20,343333049913102 20,373557509550242 20,405611065701404 20,440330230003248 20,468713126572553 20,495288352573702 20,522478684670787 20,543800840087933 20,564259239933843 20,5813699035731 20,594668878670692 20,60564306420903 20,612292963016046 20,616026041142835
